Date,Open,High,Low,Close,Volume
05/21/2024,"146.86","150.83","146.37","150.75","2,470,112"
05/20/2024,"143.30","150.90","143.30","147.70","3,493,745"
05/17/2024,"143.16","143.95","141.33","141.92","1,286,606"
05/16/2024,"141.00","144.34","140.41","142.86","2,658,620"
05/15/2024,"141.59","141.59","139.20","140.64","1,782,922"
05/14/2024,"142.03","142.03","140.09","140.80","5,311,690"
05/13/2024,"142.00","142.80","140.73","140.84","1,221,005"
05/10/2024,"143.00","143.00","140.43","141.04","1,154,438"
05/09/2024,"140.95","142.39","140.36","141.74","1,195,870"
05/08/2024,"140.18","141.73","140.03","141.68","1,287,917"
05/07/2024,"142.71","143.93","141.55","141.59","1,656,983"
05/06/2024,"139.59","143.29","139.40","143.25","2,586,680"
05/03/2024,"138.68","140.94","137.99","138.21","2,091,140"
05/02/2024,"139.11","139.25","136.32","137.38","2,378,379"
05/01/2024,"138.50","139.35","134.72","137.52","4,288,929"
04/30/2024,"142.34","142.34","139.46","139.63","2,947,302"
04/29/2024,"141.00","143.62","139.07","143.36","2,664,933"
04/26/2024,"139.26","140.77","138.25","140.59","2,759,875"
04/25/2024,"139.25","140.94","136.63","137.47","5,711,330"
04/24/2024,"136.71","138.13","136.25","136.73","3,002,612"
04/23/2024,"132.56","137.55","132.42","136.67","2,649,883"
04/22/2024,"129.98","133.95","129.54","131.99","3,315,231"
04/19/2024,"128.00","129.72","127.20","129.21","2,965,320"
04/18/2024,"128.43","130.62","127.10","127.64","1,981,183"
04/17/2024,"129.50","130.17","126.65","127.97","2,296,321"
04/16/2024,"125.65","128.32","125.06","126.60","3,058,198"
04/15/2024,"130.97","132.41","126.26","127.17","3,353,088"
04/12/2024,"131.38","131.43","126.33","127.67","3,868,021"
04/11/2024,"130.89","133.78","130.14","133.75","3,514,271"
04/10/2024,"131.65","133.57","130.14","130.90","2,178,612"
04/09/2024,"137.64","138.12","129.69","133.18","3,917,081"
04/08/2024,"137.12","139.50","136.52","138.29","1,596,350"
04/05/2024,"137.00","137.16","134.56","136.02","1,917,139"
04/04/2024,"139.95","141.70","134.69","135.04","4,200,150"
04/03/2024,"137.20","139.31","136.92","138.49","1,687,267"
04/02/2024,"138.10","138.10","135.33","137.45","5,241,287"
04/01/2024,"140.11","140.58","138.50","140.56","2,214,559"
03/28/2024,"139.67","140.28","136.98","139.01","2,770,183"
03/27/2024,"136.70","141.62","135.51","139.72","2,821,860"
03/26/2024,"136.80","137.88","135.92","136.87","2,072,983"
03/25/2024,"136.82","138.31","135.95","136.27","2,406,982"
03/22/2024,"135.48","136.34","135.20","136.02","1,563,669"
03/21/2024,"136.79","137.44","134.75","135.79","2,654,774"
03/20/2024,"129.41","135.55","128.99","135.53","3,017,934"
03/19/2024,"128.25","129.60","127.23","129.41","1,689,736"
03/18/2024,"129.76","131.24","128.17","128.26","2,786,732"
03/15/2024,"128.75","130.61","128.27","128.92","2,953,072"
03/14/2024,"132.20","132.55","128.61","128.71","2,406,019"
03/13/2024,"130.11","133.09","130.00","132.11","3,621,556"
03/12/2024,"128.74","129.76","127.19","129.74","2,493,450"
03/11/2024,"126.86","128.41","126.07","127.80","2,011,449"
03/08/2024,"125.39","128.32","125.33","127.47","2,451,583"
03/07/2024,"128.32","129.32","124.24","124.35","2,351,266"
03/06/2024,"128.00","128.92","126.25","127.00","1,702,251"
03/05/2024,"124.48","126.96","124.30","126.10","2,025,767"
03/04/2024,"125.46","127.22","125.13","125.30","1,973,173"
03/01/2024,"123.25","126.47","122.50","124.26","2,622,585"
02/29/2024,"122.55","123.44","121.59","123.35","2,845,019"
02/28/2024,"121.52","123.30","121.18","122.09","1,957,568"
02/27/2024,"124.55","126.69","122.46","123.25","3,468,397"
02/26/2024,"122.82","123.03","119.48","119.57","2,612,776"
02/23/2024,"121.22","123.36","120.60","121.91","2,583,812"
02/22/2024,"123.65","124.92","121.23","122.56","6,059,800"
02/21/2024,"114.51","115.58","113.56","114.90","1,587,807"
02/20/2024,"115.71","115.86","113.10","115.14","2,265,020"
02/16/2024,"116.92","117.56","115.72","116.09","2,080,032"
02/15/2024,"118.06","120.15","117.51","117.81","2,223,486"
02/14/2024,"117.62","118.23","114.50","116.63","2,598,656"
02/13/2024,"115.17","117.81","114.49","116.57","3,045,595"
02/12/2024,"116.64","119.08","116.61","117.02","3,140,843"
02/09/2024,"120.84","121.00","115.58","116.97","4,447,216"
02/08/2024,"120.24","123.01","118.87","120.97","3,149,584"
